Am Heimenstein|Malchow|13088|14417,18582
Am Heimhort|Spandau|13583|-4074,15127
Am Hellespont|Mariendorf|12109|10799,4273
Am Hirschsprung|Dahlem|14195|2185,6312
Am Hirschwechsel|Heiligensee|13503|-814,22363
Am Hochwald|Karlshorst|10318|
Am Hohen Feld|Karow|13125|16340,23210
Am Hohenzollernkanal|Tegel|13629|
Am Horstenstein|Marienfelde|12277|8415,1052
Am Hügel|Wittenau|13437|4288,20809
Am Hüllepfuhl|Spandau|13589|-6727,15642
Am Iderfenngraben|Niederschönhausen|13156|9018,19478
Am Industriegelände|Spandau|13591|-8243,14183
Am Irissee|Britz|12349|11075,3252
Am Jartz|Lübars|13469|6725,23081
Am Johannistisch|Kreuzberg|10961|10100,9929
Am Juliusturm|Spandau|13597|-2024,14234
Am Juliusturm|Spandau|13599|-2024,14234
Am Kahlschlag|Frohnau|13465|1467,24511
Am Kanal|Grünau|12527|21299,2595
Am Karlsbad|Tiergarten|10785|8186,10838
Am Karpfenpfuhl|Lichterfelde|14167|2439,2664
Am Kesselpfuhl|Wittenau|13437|4280,20389
Am Kiebitzpfuhl|Karow|13125|14461,22667
Am Kiefernhang|Gatow|14089|-4986,6960
Am Kienpfuhl|Britz|12347|11684,4215
Am Kiesberg|Altglienicke|12524|18769,1899
Am Kiesteich|Spandau|13589|-5769,15718
Am Kiesteich|Spandau|13591|-5769,15718
Am Kietzer Feld|Köpenick|12557|22984,2312
Am Kinderdorf|Gatow|14089|-5025,8493
Am Kirchenland|Spandau|13589|-6643,15887
Am Klarpfuhl|Rudow|12355|18063,29
Am Klauswerder|Wittenau|13437|5377,20656
Am Kleinen Platz|Spandau|13591|-7101,14729
Am Kleinen Wannsee|Wannsee|14109|-6358,527
Am Koeltzepark|Spandau|13585|-3050,15326
Am Köllnischen Park|Mitte|10179|11190,12008
Am Königsgraben|Lankwitz|12249|
Am Kornfeld|Kaulsdorf|12621|23692,11666
Am Kornfeld|Mahlsdorf|12623|23692,11666
Am Krähenberg|Konradshöhe|13505|-1730,19958
Am Kringel|Frohnau|13465|1504,24865
Am Krögel|Mitte|10179|10766,12184
Am Krug|Spandau|13591|-6918,14655
Am Krummen Weg|Spandau|13591|-6926,14766
Am Krusenick|Köpenick|12555|22746,5086
Am Kupfergraben|Mitte|10117|9783,12706
Am Kurzen Weg|Spandau|13591|-7036,14355
Am Küstergarten|Rahnsdorf|12589|29980,3338
Am Landschaftspark Gatow|Kladow|14089|-8078,7012
Am Langen Weg|Spandau|13591|-6871,14678
Am Lappjagen|Zehlendorf|14169|634,5075
Am Laubwald|Siemensstadt|13629|1148,15407
Am Lehnshof|Hermsdorf|13467|4459,22866
Am Leitbruch|Waidmannslust|13469|4228,21878
Am Luchgraben|Karow|13125|17078,21321
Am Lupinenfeld|Kaulsdorf|12621|24575,13441
Am Lupinenfeld|Mahlsdorf|12623|24575,13441
Am Lustgarten|Mitte|10178|10050,12705
Am Maria-Jankowski-Park|Köpenick|12555|22039,5440
Am Marienfelder Weg (Kolonie)|Britz|12349|12091,3574
Am Maselakepark|Spandau|13587|-2661,16446
Am Mickelbruch|Britz|12347|13341,5642
Am Moosbruch|Kaulsdorf|12621|21523,9124
Am Müggelberg|Müggelheim|12559|26968,1230
Am Müggelsee|Köpenick|12559|26006,2615
Am Mühlenberg|Schöneberg|10825|6120,8640
Am Mühlenfließ|Rahnsdorf|12589|29714,4657
Am Niederfeld|Kaulsdorf|12621|22741,11060
Am Nordbahnhof|Mitte|10115|9059,13937
Am Nordgraben|Borsigwalde|13509|5082,19965
Am Nordgraben|Französisch Buchholz|13127|10993,21729
Am Nordgraben|Wittenau|13437|5082,19965
Am Nordhafen|Wedding|13353|7694,14581
Am Nußbaum|Mitte|10178|10611,12404
Am Oberbaum|Friedrichshain|10245|13297,10781
Am Oberhafen|Neukölln|12057|13631,6775
Am Oberhafen|Spandau|13597|-3044,13162
Am Oder-Spree-Kanal|Schmöckwitz|12527|30439,-2645
Am Omnibushof|Spandau|13593|-4389,12172
Am Ortsrand|Gatow|14089|-4482,9311
Am Osrücken|Lübars|13469|6122,22726
Am Ostbahnhof|Friedrichshain|10243|12310,11682
Am Packereigraben|Wittenau|13437|4143,21059
Am Pankepark|Mitte|10115|8200,14160
Am Park|Tiergarten|10785|8399,11630
Am Petersberg|Dahlem|14195|990,5581
Am Pfarracker|Lichterfelde|12209|5014,1429
Am Pfingstberg|Frohnau|13465|3422,24223
Am Pfingstberg|Hermsdorf|13465|3422,24223
Am Pfingstberg|Hermsdorf|13467|3422,24223
Am Pfuhl|Lichterfelde|12209|5121,1498
Am Pichelssee|Spandau|13595|-3454,10846
Am Pilz|Frohnau|13465|3479,26211
Am Plänterwald|Treptow|12435|15560,8561
Am Plumpengraben|Bohnsdorf|12526|22768,-92
Am Poloplatz|Frohnau|13465|2343,26318
Am Postbahnhof|Friedrichshain|10243|12641,11288
Am Postfenn|Charlottenburg|14055|-1394,10803
Am Postfenn|Wilmersdorf|14055|-2062,10215
Am Priesteracker|Wittenau|13437|4219,20973
Am Priesterberg|Frohnau|13465|1108,25198
Am Pumpwerk|Altglienicke|12524|21134,1278
Am Querschlag|Frohnau|13465|1807,24860
Am Rain|Spandau|13591|-7803,13068
Am Rathauspark|Wittenau|13437|4654,20143
Am Rathaus|Schöneberg|10825|6295,8677
Am Rehwechsel|Zehlendorf|14165|1398,566
Am Rheinischen Viertel|Karlshorst|10318|19278,8608
Am Ried|Hermsdorf|13467|4811,23282
Am Ritterholz|Kladow|14089|-7317,5992
Am Rohrbusch|Lübars|13469|5932,23881
Am Rohrgarten|Zehlendorf|14163|-1763,1865
Am Rollberg|Rosenthal|13158|9614,20959
Am Rosenanger|Frohnau|13465|3499,24544
Am Rosengarten|Marzahn|12681|
Am Rosenhag|Mahlsdorf|12623|24925,13592
Am Rosensteg|Tegel|13509|3170,20563
