Schlaatz|Potsdam||-10072,-3567
Schlaatzstr.|Potsdam||-11676,-2331
Schlaatzweg|Potsdam||-11582,-2318
Schlänitzsee|Potsdam||-20675,4149
Schlänitzseer Weg|Potsdam||-20024,2673
Schlegelstr.|Potsdam||-13761,-460
Schloß Babelsberg|Potsdam||-10716,-112
Schloß Lindstedt|Potsdam||-16383,-67
Schloßstr.|Potsdam||-12992,-1690
Schloßtheater|Potsdam||-15813,-1211
Schlüterstr.|Potsdam||-15893,-2502
Schneiderweg|Potsdam||-15891,2509
Schopenhauerstr.|Potsdam||-13809,-817
Schornsteinfegergasse|Potsdam||-10545,-1776
Schräger Weg|Potsdam||-16746,1681
Schubertstr.|Potsdam||-8171,-2730
Schulplatz|Potsdam||-14842,373
Schulstr.|Potsdam||-10682,-2078
Schwanenallee|Potsdam||-11404,774
Schwarzer Weg|Potsdam||-20012,1940
Schwarzschildstr.|Potsdam||-7823,-3212
Schwertfegerstr.|Potsdam||-12886,-1532
Seestr.|Potsdam||-11996,41
Sellostr.|Potsdam||-14206,-1402
Semmelweisstr.|Potsdam||-10277,-1148
Siedlung Eigenheim|Potsdam||-11507,-4306
Siedlung Nuthestrand|Potsdam||-9256,-4040
Siedlungsweg|Potsdam||-17746,-604
Siefertstr.|Potsdam||-13024,-1435
Siemensstr.|Potsdam||-10335,-2138
Sizilianischer Garten|Potsdam||-14691,-867
Slatan-Dudow-Str.|Potsdam||-7493,-4594
Sonnenlandstr.|Potsdam||-15659,-3075
Sonnentaustr.|Potsdam||-10663,-5145
Sperberhorst|Potsdam||-10591,-3054
Spindelstr.|Potsdam||-10601,-1266
Spitzweggasse|Potsdam||-9719,-371
Spornstr.|Potsdam||-13342,-1474
Stadtheide|Potsdam||-15550,-3084
Stadtrandsiedlung|Potsdam||-9983,-3987
Stahnsdorfer Str.|Potsdam||-9612,-1869
Steife Brise|Potsdam||-19770,4467
Steinstr.|Potsdam||-8429,-1935
Stephensonstr.|Potsdam||-10051,-2010
Sternstr.|Potsdam||-8077,-5028
Stiftstr.|Potsdam||-14212,-1836
Stormstr.|Potsdam||-15342,-2524
Strandweg|Potsdam||-19767,4312
Stubenrauchstr.|Potsdam||-7970,-1337
Stülerstr.|Potsdam||-7608,-5419
Tannenstr.|Potsdam||-9587,221
Teltower Damm|Potsdam||-10858,-3315
Teltower Vorstadt|Potsdam||-12042,-2816
Templiner Str.|Potsdam||-15029,-5697
Templiner Vorstadt|Potsdam||-14115,-3945
Thaerstr.|Potsdam||-15186,634
Tieckstr.|Potsdam||-13672,-470
Tiroler Damm|Potsdam||-10296,-3971
Tizianstr.|Potsdam||-11659,602
Tornowstr.|Potsdam||-13933,-2675
Trebbiner Str.|Potsdam||-7996,-5393
Tschaikowskiweg|Potsdam||-8065,-2550
Tuchmacherstr.|Potsdam||-10692,-1490
Tulpenweg|Potsdam||-9637,-4003
Türkstr.|Potsdam||-12140,-1073
Turmstr.|Potsdam||-8529,-3637
Turnstr.|Potsdam||-10383,-1306
Uferweg|Potsdam||-13610,-2880
Uhlandstr.|Potsdam||-9673,-1481
Ulmenstr.|Potsdam||-9482,-3144
